Geo Point;Geo Shape;OBJID;ID;Fusswegtyp;Strassenkategorie;Bemerkung
47.5745749241,7.63611652147;"{""type"": ""LineString"", ""coordinates"": [[7.636143613398572, 47.57593396363703], [7.636132080704867, 47.57590628265695], [7.63610424167229, 47.57353243713047], [7.636099366201942, 47.57324235387669], [7.636115451943851, 47.57321848431303]]}";365;365;Trottoir;Zone30;
47.5731582795,7.63684972086;"{""type"": ""LineString"", ""coordinates"": [[7.636115451943851, 47.57321848431303], [7.636169690522646, 47.57320808552198], [7.637471304608245, 47.57311196647421], [7.63758507850289, 47.57311112454136]]}";369;369;Trottoir;Zone30;
47.5746507008,7.63809813081;"{""type"": ""LineString"", ""coordinates"": [[7.638131532115394, 47.5756438644249], [7.638093373445522, 47.575625888477894], [7.638046301327308, 47.57551322428286], [7.638017349261492, 47.57540889315949], [7.638009570479762, 47.57536526012543], [7.638014169488284, 47.57532273010267], [7.638040743185226, 47.57504708206484], [7.63805363556553, 47.57492996217667], [7.638065610776697, 47.574819930878974], [7.638077555756365, 47.57470538479601], [7.638085078919539, 47.57464518614685], [7.638092343693578, 47.57458697554375], [7.638105269568143, 47.574478867248445], [7.638121960328635, 47.57436110226753], [7.638134842703264, 47.57424140116877], [7.638163541879141, 47.574022616453036], [7.638176397550256, 47.573895828352185], [7.638190270353914, 47.573785146200905], [7.638203169302634, 47.57366995087989], [7.638210613954536, 47.573624358088985]]}";374;374;Trottoir;Zone30;
47.5732663388,7.64233268076;"{""type"": ""LineString"", ""coordinates"": [[7.642801644178366, 47.573945385469784], [7.642743503979194, 47.57392937973285], [7.642644289235969, 47.573876724720286], [7.642618489357895, 47.57385502318899], [7.642575388630531, 47.573785514517176], [7.64256672338561, 47.573761210755194], [7.642554840273009, 47.57364268571337], [7.642550729313596, 47.57356166873681], [7.642542646380909, 47.57343943162606], [7.642535590855323, 47.573339092353756], [7.642529470088975, 47.57323295950106], [7.642526485157091, 47.57319961611217], [7.642490016341342, 47.573123017738496], [7.64244220188227, 47.57306832987019], [7.642415458886143, 47.57304662993951], [7.64234002641425, 47.57298813208107], [7.642287555972228, 47.57296003765703], [7.642245609175186, 47.572945289431495], [7.641745993300734, 47.572882379030155], [7.641618844498329, 47.57286778821351]]}";384;384;Trottoir;Zone30;
47.5690862154,7.63868863305;"{""type"": ""LineString"", ""coordinates"": [[7.638420389111048, 47.56860676393577], [7.638446804952415, 47.568627305190304], [7.638554183227867, 47.5688300728182], [7.638909917773259, 47.5695054822079], [7.638938157907181, 47.56956573640721], [7.638943034266863, 47.56957613373237]]}";390;390;Trottoir;Zone30;
47.5697994613,7.63441316421;"{""type"": ""LineString"", ""coordinates"": [[7.633839749000914, 47.56944387205946], [7.633888268596298, 47.5694440335208], [7.633930231516506, 47.56946457670075], [7.634529627918011, 47.56988010397992], [7.634790892974967, 47.570059762930384], [7.634811197372541, 47.570073722916], [7.634978193177058, 47.57018232812691]]}";399;399;Trottoir;Zone30;
47.5725553466,7.63682011837;"{""type"": ""LineString"", ""coordinates"": [[7.636111863791704, 47.57256912775959], [7.63613848518993, 47.57255876683045], [7.636208930366948, 47.57255736119629], [7.637078615335419, 47.57255008099733], [7.63736565978045, 47.57254830522578], [7.637424710491002, 47.57255271923691], [7.637458098018025, 47.57257134212139], [7.637485803439107, 47.57259513708311], [7.637500184966122, 47.57262409919354]]}";409;409;Trottoir;Zone30;
47.5730165515,7.6369792466;"{""type"": ""LineString"", ""coordinates"": [[7.637500184966122, 47.57262409919354], [7.637542174627352, 47.57290365939099], [7.637551942100175, 47.572971131377464], [7.637537771951066, 47.572998856165334], [7.637521635140556, 47.57301241025066], [7.637486450692954, 47.57302519643332], [7.637466476880122, 47.57302909783856], [7.636508918955418, 47.57309257902292], [7.63624860308943, 47.57311364373695], [7.636185301109699, 47.573116970916196], [7.636147209357341, 47.573116388003726], [7.63612240937044, 47.57310547575965]]}";411;411;Trottoir;Zone30;
47.5769495279,7.64295232942;"{""type"": ""LineString"", ""coordinates"": [[7.64168148050683, 47.57681380369259], [7.641698669069457, 47.57682859529784], [7.641763444903074, 47.57683427421516], [7.643653080852897, 47.57702816591443], [7.643725160571689, 47.577035557657894], [7.643789922023763, 47.5770373771784], [7.64383597168499, 47.57703975128393], [7.643859435208515, 47.57704096004062], [7.643945123522516, 47.577037589197495], [7.644228240797485, 47.57700036828667]]}";421;421;Trottoir;Zone30;
47.5751326699,7.64442282583;"{""type"": ""LineString"", ""coordinates"": [[7.644852112701472, 47.575086838423125], [7.644825404477542, 47.57507464532849], [7.644800640023996, 47.57507018335707], [7.644625553420113, 47.57509884145253], [7.644217351255943, 47.57516270782802], [7.644063205010961, 47.575190032993596], [7.644027092590137, 47.57520685196272], [7.644009076067277, 47.5752255636425], [7.644006245895406, 47.57523265566212]]}";423;423;Trottoir;Zone30;
47.574752492,7.64472819819;"{""type"": ""LineString"", ""coordinates"": [[7.644776050437648, 47.57499065974396], [7.644792153575277, 47.57496872259733], [7.644795874901085, 47.57494809347715], [7.644678393970512, 47.57460296180788], [7.644650419073481, 47.57451055618954]]}";429;429;Trottoir;Zone30;
47.5760631897,7.64667228423;"{""type"": ""LineString"", ""coordinates"": [[7.646524389443735, 47.57566437019622], [7.646536353775484, 47.57568207538357], [7.646611445967221, 47.57589302305955], [7.646640820411842, 47.57597858146882], [7.646667779422176, 47.57605479974557], [7.64668653373565, 47.57610268458255], [7.646790714715687, 47.57638687864605], [7.646806166894961, 47.576443385313674], [7.646797677303994, 47.57646466156776]]}";435;435;Trottoir;Zone40;
47.5755187126,7.64664513677;"{""type"": ""LineString"", ""coordinates"": [[7.646933765820291, 47.57626452445812], [7.646897522665405, 47.576247843071606], [7.646883174553206, 47.576232399604876], [7.646795655782912, 47.57600834357133], [7.64672920721037, 47.575815817626655], [7.646673393150603, 47.57566450868019], [7.646659929281809, 47.57563038371382], [7.646596165737087, 47.57539340606271], [7.646571983243878, 47.57529631743423], [7.646545920422843, 47.575204394533685], [7.646513087817005, 47.57508735534822], [7.646479281565685, 47.57496258331445], [7.646453111024466, 47.57484295101627], [7.646426975032306, 47.574735559058006]]}";441;441;Trottoir;Zone40;
47.5741402606,7.6463433902;"{""type"": ""LineString"", ""coordinates"": [[7.646426975032306, 47.574735559058006], [7.646385924935736, 47.57446052433284], [7.646338862747688, 47.574112525477375], [7.646325106364391, 47.57400317773188], [7.646308447460611, 47.57388224228921], [7.646276131973461, 47.573651971458], [7.646265361246139, 47.573575481318976], [7.646279540243383, 47.57354774645227]]}";442;442;Trottoir;Zone40;
47.5722294474,7.64593780393;"{""type"": ""LineString"", ""coordinates"": [[7.645559348869803, 47.57098925173259], [7.645576709221001, 47.57104849835663], [7.645806081996433, 47.571764870264694], [7.645865870224585, 47.57195901873915], [7.64594108621575, 47.57220725477474], [7.64600852564002, 47.57241041019657], [7.64608945589224, 47.57265477761987], [7.646122342369127, 47.572789696397415], [7.64616506401596, 47.573003202525406], [7.646211816059621, 47.57327211158889], [7.646242928222761, 47.573439248881236], [7.646281128234443, 47.5734675288604]]}";450;450;Trottoir;Zone40;
47.567167275,7.58152399187;"{""type"": ""LineString"", ""coordinates"": [[7.581366792540888, 47.567343159470525], [7.581681191195565, 47.56699139045079]]}";1206;1206;Fussweg_Park;andere;
47.5668312308,7.58142287414;"{""type"": ""LineString"", ""coordinates"": [[7.581309952053104, 47.56706276054118], [7.581381795338668, 47.56691544577158], [7.581535802563182, 47.56659970420655]]}";1213;1213;Trottoir;Zone50;
47.5691318999,7.57367720779;"{""type"": ""LineString"", ""coordinates"": [[7.573932877771747, 47.56824252998799], [7.573872071382671, 47.56828074274299], [7.57373305275242, 47.56884191235005], [7.573621070350137, 47.569259313244174], [7.573492155302175, 47.56975556321829], [7.573622762763591, 47.56992927816002], [7.573716942335914, 47.56996004448749]]}";1214;1214;Trottoir;Zone50;
47.5608209296,7.57301340157;"{""type"": ""LineString"", ""coordinates"": [[7.574051110118337, 47.56053426512665], [7.572845333569141, 47.56044061301354], [7.572181094771849, 47.56051092373041], [7.572150367515627, 47.56055036937432], [7.573725389204047, 47.56174706772841]]}";1217;1217;Trottoir;Zone30;
47.5640812256,7.56679634277;"{""type"": ""LineString"", ""coordinates"": [[7.565795852245595, 47.5635392519788], [7.565826119100927, 47.56354374283209], [7.566028828635596, 47.56357377656914], [7.566177914962154, 47.56361186397163], [7.566371659380106, 47.56371016914077], [7.566663232386892, 47.56389298848563], [7.566882928252952, 47.564101392246165], [7.567152312679145, 47.5643166840075], [7.567310218771312, 47.56446255877654], [7.567662223076113, 47.56485046429082]]}";1223;1223;Fussweg_Park;andere;
47.5626319068,7.56825412845;"{""type"": ""LineString"", ""coordinates"": [[7.567341570162386, 47.56219068653611], [7.567369066372426, 47.56223121784672], [7.567901169923267, 47.56274063599588], [7.568354312902569, 47.563172478746814], [7.568405705303105, 47.563181694118725], [7.568970171706325, 47.56291215309116], [7.56897523203779, 47.56287853794495], [7.568391646390421, 47.56232745117992], [7.567945384123489, 47.561908353911356], [7.567902527629648, 47.5618898563588]]}";1229;1229;Trottoir;Zone30;
47.5665673319,7.58251063198;"{""type"": ""LineString"", ""coordinates"": [[7.58284178978048, 47.5664838495398], [7.582862557579106, 47.56651260369842], [7.582860332185661, 47.56653983038334], [7.582835090475223, 47.566556976612375], [7.582634180870275, 47.5666404615801], [7.582588223722638, 47.56664829787226], [7.582103849094308, 47.56646220356298]]}";1316;1316;Fussweg_Park;andere;
47.571468629,7.5776361139;"{""type"": ""LineString"", ""coordinates"": [[7.57799236567926, 47.57111715272813], [7.577371614191994, 47.57174434770576], [7.577248172139726, 47.571731615497015]]}";1321;1321;Fussweg_Park;andere;
47.5712914126,7.57851724585;"{""type"": ""LineString"", ""coordinates"": [[7.577870234555243, 47.57107660214716], [7.578861175296345, 47.5714056002395], [7.579164259286022, 47.57150621656747]]}";1322;1322;Fussweg_Park;andere;
47.5731855181,7.57726029753;"{""type"": ""LineString"", ""coordinates"": [[7.57717459249091, 47.5730407421056], [7.577146406364883, 47.57306209958691], [7.577151088098177, 47.57309424642799], [7.57741075007742, 47.57332423893185]]}";1330;1330;Trottoir;Zone50;
47.5664646506,7.5833260762;"{""type"": ""LineString"", ""coordinates"": [[7.583394118710773, 47.566471599284895], [7.583258033684347, 47.566457701995056]]}";1338;1338;Trottoir;Begegnungszone;
47.551142896,7.5968726377;"{""type"": ""LineString"", ""coordinates"": [[7.595822918622662, 47.551341767418286], [7.595671003834666, 47.55131769812919], [7.59554222122112, 47.55127218336571], [7.595459753910465, 47.551196620955814], [7.595552324517036, 47.55112083187467], [7.596309097476406, 47.550293131227356], [7.59633644054492, 47.55026739905811], [7.59651801824484, 47.550341396595684], [7.597166824239117, 47.550800249360854], [7.59789170733671, 47.55131183276192], [7.59817702876524, 47.55151846059213], [7.598084925967099, 47.55174988800681], [7.598053491072765, 47.551815603401344], [7.597281174263609, 47.551671030801245], [7.597213556454213, 47.55162686460202], [7.596930646683965, 47.55152016071887], [7.596521277109408, 47.55144362174637], [7.596156389875726, 47.55142698254428]]}";1598;1598;Trottoir;Zone50;
47.5556392068,7.61594846772;"{""type"": ""LineString"", ""coordinates"": [[7.61614552788863, 47.55562808323234], [7.616139749724673, 47.55560845869787], [7.6160791157724, 47.555609144701094], [7.61584200060308, 47.55565591351688], [7.615742820219752, 47.555695322103475]]}";1606;1606;Trottoir;Zone50;
47.5569107447,7.61414234636;"{""type"": ""LineString"", ""coordinates"": [[7.614151777065623, 47.5569059683281], [7.614132915664044, 47.55691552112482]]}";1607;1607;Strasse;Zone30;
47.5560127695,7.61597672496;"{""type"": ""LineString"", ""coordinates"": [[7.61614552788863, 47.55562808323234], [7.616110646967718, 47.55571023129525], [7.616075793633228, 47.55580070750935], [7.615801833220553, 47.556394837568924]]}";1618;1618;Trottoir;Zone30;
47.5295755746,7.59407639237;"{""type"": ""LineString"", ""coordinates"": [[7.593818157219361, 47.528698796915094], [7.59378233800711, 47.52870598573056], [7.593765511024952, 47.528718860318826], [7.593748733749154, 47.528748859079656], [7.593603881223688, 47.52895322968776], [7.593576692715577, 47.52902893089528], [7.593564244794202, 47.52910034042187], [7.593558159939207, 47.52918173361899], [7.593568939514713, 47.529263095387705], [7.593611419597173, 47.529372979357134], [7.593658009927995, 47.52944859137505], [7.59372569185362, 47.52952559631354], [7.59387576058919, 47.529658181173346], [7.593951867122145, 47.529732323704444], [7.594104026808076, 47.52986204543693], [7.594197011131942, 47.52994045532488], [7.594249844708974, 47.52998892439661], [7.594302641767387, 47.53002026925857], [7.594338511727924, 47.53003021344632], [7.594412299864439, 47.53003296582139], [7.594547180139094, 47.53001994216903], [7.594644108860074, 47.53000267914836], [7.594785251483916, 47.529969644572965], [7.594890511430073, 47.529922393771145], [7.594959972937761, 47.529885174068134], [7.594991465534704, 47.529842303219006], [7.594989233699978, 47.52979661760409]]}";3084;3084;Trottoir;Zone30;
47.5323989556,7.59465087413;"{""type"": ""LineString"", ""coordinates"": [[7.594618838018061, 47.53247686694937], [7.594682910235689, 47.53232104426298]]}";3092;3092;Trottoir;Zone30;
47.5723572692,7.61040155387;"{""type"": ""LineString"", ""coordinates"": [[7.610668648054308, 47.572763079058994], [7.610634100959615, 47.572744657036644], [7.610182193378755, 47.571990582046084], [7.610153270833432, 47.57196459689473], [7.610129208691212, 47.57195812988089]]}";4305;4305;Trottoir;Zone30;
47.5722583244,7.60824226595;"{""type"": ""LineString"", ""coordinates"": [[7.608110535489623, 47.57229796049844], [7.608144939500431, 47.572300995283], [7.60835137607918, 47.57221448125574], [7.608358188933715, 47.57219205906034]]}";4306;4306;Fussweg_Park;andere;
47.5738750915,7.6436959163;"{""type"": ""LineString"", ""coordinates"": [[7.642999407918424, 47.573935783908695], [7.643016629228456, 47.573959263181735], [7.643041427342048, 47.57396921162802], [7.643078097988167, 47.57397332929158], [7.643264599305908, 47.57394497722405], [7.643434197686858, 47.57391730214327], [7.643582880115209, 47.573893926653845], [7.643812440899069, 47.57385848279653], [7.643979665965007, 47.573832420969886], [7.64412501546172, 47.57380993204489], [7.644306991065208, 47.57378005735772], [7.644362881877576, 47.57377101885297], [7.644378554865386, 47.573761646702884], [7.644391338987162, 47.5737406867874]]}";463;463;Trottoir;Zone30;
47.5756005376,7.64254990244;"{""type"": ""LineString"", ""coordinates"": [[7.642408077845995, 47.57547192643984], [7.642408165590795, 47.57549487817444], [7.642708948625677, 47.57572049748045]]}";465;465;Trottoir;Zone30;
47.5768627431,7.64417235171;"{""type"": ""LineString"", ""coordinates"": [[7.644007518581002, 47.57679780648716], [7.644033508834894, 47.576809758201335], [7.64405878357035, 47.576822277774404], [7.644101217371019, 47.576838310565826], [7.644156965916642, 47.576850128777465], [7.644243693253225, 47.576871560454926], [7.644285227384815, 47.57690241635679], [7.644291901042539, 47.576964811728175]]}";470;470;Trottoir;Zone30;
47.576672237,7.64629471076;"{""type"": ""LineString"", ""coordinates"": [[7.64573799228266, 47.57678442466188], [7.645821731867863, 47.576768815493864], [7.646629450891083, 47.57660372586454], [7.646782151890772, 47.57657317115548], [7.646851616611375, 47.576561049336085]]}";475;475;Trottoir;Zone30;
47.5748476064,7.64620537619;"{""type"": ""LineString"", ""coordinates"": [[7.646106141823752, 47.57486216896656], [7.646245287359726, 47.57483647770459], [7.646304127102707, 47.57485070867743]]}";481;481;Trottoir;Zone30;
47.5757458218,7.64592313729;"{""type"": ""LineString"", ""coordinates"": [[7.646524389443735, 47.57566437019622], [7.646496978560714, 47.57565620791525], [7.646457961361971, 47.57566079241919], [7.645705290698446, 47.57578067967674], [7.645465963998522, 47.575815254226576], [7.645387946626217, 47.57582891933863], [7.645323514520847, 47.57584997107249]]}";483;483;Trottoir;Zone30;
47.5808125149,7.64898430211;"{""type"": ""LineString"", ""coordinates"": [[7.649013616363995, 47.58075995233731], [7.648954987861559, 47.580865077385354]]}";485;485;Trottoir;Zone40;
47.5813868558,7.64885879592;"{""type"": ""LineString"", ""coordinates"": [[7.649033942748707, 47.58108721326191], [7.649001820732265, 47.581149120789476], [7.648918652897788, 47.58130776650939], [7.648767154235497, 47.58152839398829], [7.648670634081265, 47.58167888836508]]}";486;486;Trottoir;Zone40;
47.5762713187,7.64736903878;"{""type"": ""LineString"", ""coordinates"": [[7.646956897380568, 47.576337286941474], [7.647725502226972, 47.57621229052349], [7.647754099647753, 47.57622125981292], [7.647771325730696, 47.57624184238927]]}";491;491;Trottoir;Zone30;
47.5716685495,7.64671500442;"{""type"": ""LineString"", ""coordinates"": [[7.64614808077858, 47.57101007619475], [7.646205303994088, 47.57105052675446], [7.646298891062309, 47.57112251627577], [7.646360019600768, 47.571172663993835], [7.646468951195963, 47.57127732708594], [7.646543514491446, 47.571354350873555], [7.646620474432527, 47.57143587617271], [7.646712324475439, 47.57155280997936], [7.646807130352247, 47.5716948668207], [7.646876146271622, 47.57181442252044], [7.646928958621621, 47.571926272593906], [7.646956825253837, 47.57199371143791], [7.646987633008577, 47.57208256799985], [7.647023312060577, 47.57219702988289], [7.647043662122499, 47.57228961055182], [7.647069903952254, 47.57242405532085], [7.647074789619872, 47.57245674765666]]}";499;499;Trottoir;Zone30;
47.5737331589,7.64731942775;"{""type"": ""LineString"", ""coordinates"": [[7.647268866796648, 47.57339126767179], [7.647258502630087, 47.57341899582408], [7.647303204256091, 47.573651501619004], [7.647357673836157, 47.57394487716377], [7.647372267420994, 47.57402651372369], [7.64739044132724, 47.57404838976349], [7.647413325872976, 47.574054788198744]]}";503;503;Trottoir;Zone30;
47.5769312932,7.64820750009;"{""type"": ""LineString"", ""coordinates"": [[7.647771325730696, 47.57624184238927], [7.647922871827381, 47.5765234500697], [7.647956369285094, 47.576568484166984], [7.648058848773035, 47.57672212779852], [7.64813547773988, 47.57683522037608], [7.648211124162134, 47.576945103923094], [7.648447632992702, 47.57728437822217], [7.648667422426212, 47.57760628839377]]}";504;504;Trottoir;Zone30;
47.5744207481,7.65025516471;"{""type"": ""LineString"", ""coordinates"": [[7.649817926609547, 47.57371155840752], [7.649928298830418, 47.5736971840107], [7.650000730458867, 47.57371379874414], [7.650042764356813, 47.57374980509834], [7.650136250854805, 47.57403505911583], [7.650175797842339, 47.574164325544714], [7.650261651207653, 47.574444763681996], [7.650293434975865, 47.574536675378546], [7.650341542274264, 47.574662706418295], [7.650383865781554, 47.57477135415713], [7.650431029386384, 47.574900606608], [7.65051084756981, 47.5750998694318], [7.650576719055764, 47.57526436999451], [7.650569216273393, 47.57529273176757]]}";514;514;Trottoir;Zone30;
47.5797056364,7.64509819701;"{""type"": ""LineString"", ""coordinates"": [[7.646007693974877, 47.58002585963684], [7.645994267045526, 47.58000140277875], [7.645949430864847, 47.57998022159778], [7.645324955576833, 47.5797790194273], [7.644970758368124, 47.57966319771893], [7.644313873512743, 47.57945206455413], [7.644229493171267, 47.579423379895395], [7.64419996333183, 47.579417631126475], [7.64417236815301, 47.579424128318294]]}";534;534;Trottoir;Zone30;
47.5780794098,7.6403400852;"{""type"": ""LineString"", ""coordinates"": [[7.639289554411048, 47.57766583932185], [7.639380112717467, 47.577695317371614], [7.640107713966795, 47.57798592327633], [7.640479143286696, 47.57813379246745], [7.641115220643067, 47.578390077907876], [7.641311185034675, 47.578465607552324], [7.641349333546148, 47.57848358244396], [7.641364714997813, 47.57852285802436]]}";536;536;Trottoir;Zone30;
47.5783260824,7.64017910038;"{""type"": ""LineString"", ""coordinates"": [[7.639289554411048, 47.57766583932185], [7.639274400928365, 47.5776901843459], [7.639284068960425, 47.57772688887186], [7.639308023949835, 47.57776679750081], [7.639472325383181, 47.57790632988858], [7.639594615718647, 47.57801822504538], [7.639648131740472, 47.57806886598706], [7.63972358061533, 47.57813058520529], [7.639884403989861, 47.578231944843694], [7.640002717461138, 47.57829343687665], [7.640173913770352, 47.57836787808], [7.640685601222287, 47.57859023214838], [7.640855849218373, 47.57866645473298], [7.641002240620595, 47.578729012177995], [7.64107570186736, 47.578763680984686], [7.64110534357467, 47.57879906451585], [7.641154450316193, 47.57886403934443], [7.641171576259007, 47.57888670059234]]}";537;537;Trottoir;Zone50;
47.5814089964,7.64947148124;"{""type"": ""LineString"", ""coordinates"": [[7.649033942748707, 47.58108721326191], [7.649071746164608, 47.58108734278384], [7.649135715513468, 47.58113297791569], [7.649360213761955, 47.58131619546004], [7.64959331378494, 47.58150616020949], [7.649706041885826, 47.58159921119954], [7.649858420862553, 47.581722318919894], [7.649868042804057, 47.58174871586263], [7.649861480472746, 47.58177321752997]]}";550;550;Trottoir;Zone30;
47.5847855131,7.65179737615;"{""type"": ""LineString"", ""coordinates"": [[7.6514686650293, 47.58485693315944], [7.651566320288512, 47.5848346751279], [7.651648624483354, 47.58481970298994], [7.65175994333992, 47.58479373238918], [7.651957851984138, 47.584750847835046], [7.652125776125843, 47.58471252376435]]}";555;555;Trottoir;Zone30;
47.5838483982,7.65470697257;"{""type"": ""LineString"", ""coordinates"": [[7.654250590733714, 47.58395301364363], [7.654573103261469, 47.58387445867362], [7.654912249683478, 47.583790709531186], [7.654995484870486, 47.58376994135655], [7.655061188229626, 47.58376917165593], [7.655149059883112, 47.58383280027768]]}";561;561;Trottoir;Zone30;
47.5824629587,7.65091866784;"{""type"": ""LineString"", ""coordinates"": [[7.651333498063075, 47.58278170388481], [7.651259919588522, 47.582717407697494], [7.651105149415452, 47.58259286723236], [7.651034000260825, 47.58254096872896], [7.650980537954203, 47.58250433614196], [7.650928067820976, 47.58248317082611], [7.650910407253498, 47.58247112454181], [7.650777623307944, 47.58236634758546], [7.650697371859756, 47.582298357804525], [7.650504398705949, 47.582142956896945]]}";568;568;Trottoir;Zone30;
47.580710679,7.64919604423;"{""type"": ""LineString"", ""coordinates"": [[7.649164218835973, 47.58072375931505], [7.64919747308687, 47.58070630540225], [7.649229847243361, 47.58070496073778]]}";574;574;Trottoir;Zone40;
47.5827850044,7.65381060849;"{""type"": ""LineString"", ""coordinates"": [[7.654515038348211, 47.58208935973529], [7.654520855858795, 47.582114477254414], [7.654512368454666, 47.582135754029565], [7.654167866775829, 47.58242116800499], [7.654004085726521, 47.582558246874434], [7.653988493170109, 47.58257129855574], [7.653766392021827, 47.582750017724415], [7.653666740747818, 47.582833150454604], [7.65354912248882, 47.58295046522094], [7.653479066001314, 47.58305158442458], [7.65342237810589, 47.58316170855166], [7.653369608483932, 47.583300811997205], [7.653332886213899, 47.58340444178231], [7.653304646766492, 47.58348551778569], [7.653244758184519, 47.58351075652168], [7.653186754825724, 47.583532124476086]]}";578;578;Trottoir;Zone30;
47.5837307405,7.65373614605;"{""type"": ""LineString"", ""coordinates"": [[7.653409790336277, 47.58358390336137], [7.653437050867308, 47.583612839632124], [7.653479997474143, 47.58363531647387], [7.653698391915556, 47.58371608994552], [7.65384285497544, 47.58376463153359], [7.653942068355238, 47.5838063225409], [7.654035599617536, 47.58385962580329], [7.65406081947659, 47.58388345730154]]}";579;579;Trottoir;Zone30;
47.5833184916,7.65860663646;"{""type"": ""LineString"", ""coordinates"": [[7.658915702751398, 47.5833233010354], [7.658884220396587, 47.583309186602875], [7.65884896568127, 47.58330538604112], [7.658680444563971, 47.58330957207163], [7.658418614556285, 47.583321668660204], [7.658364409851668, 47.58333851721818], [7.658302630952861, 47.58336891551376]]}";581;581;Trottoir;Zone30;
47.585429862,7.658425901;"{""type"": ""LineString"", ""coordinates"": [[7.658139000137914, 47.585718305705406], [7.658114176470632, 47.585704178515414], [7.658106474535057, 47.58568357957562], [7.658117821735583, 47.58566293572], [7.658239338037377, 47.585569936916194], [7.658503260770581, 47.58537292718774], [7.658687399324678, 47.58522503819578], [7.658781331162703, 47.58514190303976]]}";585;585;Trottoir;Zone30;
47.5831361669,7.65994334896;"{""type"": ""LineString"", ""coordinates"": [[7.660430617876061, 47.58306061468194], [7.660400116485441, 47.58305229970529], [7.660365834991944, 47.58305236502709], [7.659998539777645, 47.58312135316851], [7.659733573027228, 47.5831780762785], [7.659496194994237, 47.58322684998683], [7.659462001515132, 47.58324817590122]]}";592;592;Trottoir;Zone30;
47.5827280835,7.65216612665;"{""type"": ""LineString"", ""coordinates"": [[7.652163564861008, 47.582592126523316], [7.652183193527915, 47.5826142419119], [7.652236912855304, 47.58271143681878], [7.652247573298134, 47.58275780658244], [7.652227699811039, 47.58279069691407], [7.65216680279293, 47.582803049027845], [7.652110559025583, 47.582785758447464], [7.65207321849431, 47.582735570323315], [7.652040610945285, 47.582678934043905]]}";595;595;Fussweg_Park;Zone30;
47.5820997219,7.65665555157;"{""type"": ""LineString"", ""coordinates"": [[7.6546937831933, 47.58213896090083], [7.654748045525653, 47.58213305923999], [7.654827160112989, 47.582152239702104], [7.654958732877288, 47.58219258365155], [7.655024502331524, 47.582208569049016], [7.655180326485604, 47.58224049454973], [7.655308479525993, 47.58226023097671], [7.655426137312274, 47.582274833440096], [7.655586160890721, 47.58228355590236], [7.655738525789826, 47.58228519642616], [7.655853241850773, 47.5822791904557], [7.656035996771331, 47.58225887428212], [7.656209202536088, 47.58223406984404], [7.656509414889983, 47.582179384320334], [7.656801047810862, 47.58212342800497], [7.657083170752425, 47.582069422443], [7.657410980135641, 47.58201243435595], [7.657999968592429, 47.5819032487197], [7.658291609027487, 47.581849860816945], [7.658616556585343, 47.58178933120487]]}";601;601;Trottoir;Zone30;
47.5802013961,7.65729618486;"{""type"": ""LineString"", ""coordinates"": [[7.657612002504596, 47.58093584657057], [7.657576754779734, 47.58093334069735], [7.657544317174228, 47.58091922768887], [7.657461282837621, 47.5808710608421], [7.657210755705538, 47.58073236353587], [7.65715061311597, 47.58069446021801], [7.657122418789491, 47.5806713184682], [7.657094623841384, 47.58062562882055], [7.657066762812569, 47.58056705135424], [7.657063741267042, 47.58052710712349], [7.657074953738142, 47.58047377157523], [7.657102310134234, 47.5804092895378], [7.657143776143755, 47.58030435443092], [7.657181480095463, 47.58021231430696], [7.657233290229233, 47.58007579193116], [7.657275651905631, 47.579956033502135], [7.657319969629064, 47.579849797866366], [7.657371839900614, 47.579728096876295], [7.657419940197046, 47.57961411952017], [7.657451896033191, 47.57951436452019], [7.657475397726984, 47.579440383300245], [7.657469439518974, 47.57938127905693], [7.657428247305463, 47.579319506982124], [7.657392871016929, 47.579285424489505]]}";607;607;Trottoir;Zone30;
47.5785152622,7.65622515273;"{""type"": ""LineString"", ""coordinates"": [[7.656859666709049, 47.57847558237656], [7.656791162396113, 47.57848859876143], [7.656637896169702, 47.57849790663806], [7.656326116328095, 47.57851073067443], [7.656049558598719, 47.578523488074275], [7.655735877654849, 47.578539542804705], [7.655624955302961, 47.57854168331967], [7.655592517042523, 47.57852692221232]]}";610;610;Trottoir;Zone30;
47.5820129886,7.65669955575;"{""type"": ""LineString"", ""coordinates"": [[7.654801722991881, 47.58204525329948], [7.654828473620879, 47.58206646464483], [7.654876128535817, 47.582076691851555], [7.65497527135544, 47.582104855649085], [7.655201181576886, 47.58215855040695], [7.655325508407112, 47.58217555985969], [7.65551223786606, 47.58219775917619], [7.65573222857172, 47.58220121630331], [7.655885513541888, 47.582193843261244], [7.656098692119072, 47.5821631634481], [7.656365609171316, 47.58211884724773], [7.656690560574782, 47.582058323042894], [7.656966972867461, 47.58200561455632], [7.65727669252002, 47.58194898455462], [7.657535034061945, 47.581901462029556], [7.657877119137679, 47.581841540809556], [7.658317173276813, 47.58175711479898], [7.658511282343353, 47.58172196070262], [7.658546486088733, 47.58171367396974], [7.658574011602326, 47.581693656002955], [7.658588226248461, 47.58167558783352]]}";616;616;Trottoir;Zone30;
