Geo Point;Geo Shape;OBJID;ID;Fusswegtyp;Strassenkategorie;Bemerkung
47.5536864775,7.56485363385;"{""type"": ""LineString"", ""coordinates"": [[7.564807104298487, 47.55406451220077], [7.564900163396401, 47.55330844282439]]}";105;105;Fussweg_Park;andere;
47.5549007351,7.56370232158;"{""type"": ""LineString"", ""coordinates"": [[7.563767012427409, 47.55567396371418], [7.564363094747476, 47.555477529498035], [7.564255153331089, 47.55467651086962], [7.563957528443686, 47.55469233606203], [7.563681611651305, 47.55420232950826], [7.563663545449573, 47.55420315830104], [7.562915620704122, 47.55439894137566], [7.563201212857428, 47.554904444585624], [7.563752525181872, 47.55566582193133], [7.563767078792936, 47.555673936661826]]}";110;110;Trottoir;Zone30;
47.5504743833,7.56136122905;"{""type"": ""LineString"", ""coordinates"": [[7.561306698662929, 47.55138011364503], [7.561376338411814, 47.55127072144891], [7.561993218768738, 47.55018503834], [7.562074812276186, 47.550029944788], [7.562057869661243, 47.54999896125018], [7.562012037256173, 47.54998106717994], [7.560761124539402, 47.54993180199339], [7.560732256745942, 47.54995466732767], [7.56072024301818, 47.54997589615119], [7.561244016237034, 47.55137202218286], [7.5612777929335, 47.551386673482014], [7.561306698662929, 47.55138011364503]]}";124;124;Trottoir;Zone30;
47.5520606984,7.5646741621;"{""type"": ""LineString"", ""coordinates"": [[7.563324168542907, 47.55199717697641], [7.565464939733666, 47.55224288135811], [7.565549999484147, 47.55152487218744]]}";127;127;Trottoir;Zone50;
47.5518842213,7.56233539699;"{""type"": ""LineString"", ""coordinates"": [[7.561470296596092, 47.55178376972637], [7.563200497374917, 47.551984672836966]]}";128;128;Trottoir;Zone50;
47.5508982138,7.55963890588;"{""type"": ""LineString"", ""coordinates"": [[7.559675405599716, 47.55206139302877], [7.559660864606933, 47.55202877880566], [7.559106762655967, 47.550522539846334], [7.558985525415364, 47.55019633573627], [7.559022825975675, 47.55017182528117], [7.559693768819073, 47.55006099390701], [7.559737188677867, 47.550075635659354], [7.55975292477302, 47.55010824865505], [7.559985706003463, 47.55073455636392], [7.560402823942311, 47.55187136311704]]}";131;131;Trottoir;Zone30;
47.5486827199,7.55853092451;"{""type"": ""LineString"", ""coordinates"": [[7.558354857160317, 47.54833579924409], [7.558439386439517, 47.54840862488887], [7.558646102038941, 47.54899087501951], [7.558632414876199, 47.54905992513677]]}";141;141;Fussweg_Park;andere;
47.5487446599,7.56075519313;"{""type"": ""LineString"", ""coordinates"": [[7.560766351359736, 47.548712495556124], [7.560744034908563, 47.54877682424782]]}";143;143;Fussweg_Park;andere;
47.5492173251,7.56089871722;"{""type"": ""LineString"", ""coordinates"": [[7.56069962922994, 47.54985516762076], [7.561332853815204, 47.54988477660605], [7.561365429337921, 47.549862653703556], [7.561458510373957, 47.54882606181619], [7.561411320604941, 47.5487950200622], [7.561326737556542, 47.54879347214952], [7.560236476924881, 47.548635909392466], [7.560688123413924, 47.54984864119679], [7.56069962922994, 47.54985516762076]]}";145;145;Trottoir;Zone30;
47.5460013632,7.55851252549;"{""type"": ""LineString"", ""coordinates"": [[7.559631656137154, 47.54612180221796], [7.557801966401421, 47.54594370140539], [7.557431892222423, 47.545787829979474], [7.557431859538476, 47.54577310722282]]}";148;148;Trottoir;Zone50;
