Geo Point,Geo Shape,OBJID,ID,Strassenkategorie,Bewertung,Bemerkung,Tram,Konfliktgrün,Lichtsignalanlage,Vortritt-Typ,lat,long
"47.5712138158,7.63045441717","{""type"": ""LineString"", ""coordinates"": [[7.630416820083211, 47.57119702803963], [7.630492014263393, 47.57123060353757]]}",2769,2769,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5712138158,7.63045441717
"47.5710319927,7.62966242524","{""type"": ""LineString"", ""coordinates"": [[7.629618217555049, 47.57101166757555], [7.629706632925379, 47.571052317923765]]}",2770,2770,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5710319927,7.62966242524
"47.57593896,7.63609566517","{""type"": ""LineString"", ""coordinates"": [[7.636047716949378, 47.57594395638097], [7.636143613398572, 47.57593396363703]]}",2774,2774,Zone30,0.1,,Nein,Nein,Nein,ohne,47.57593896,7.63609566517
"47.5756534783,7.6419241098","{""type"": ""LineString"", ""coordinates"": [[7.64186538400346, 47.57561329362164], [7.641982835599142, 47.575693662936416]]}",2776,2776,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5756534783,7.6419241098
"47.5724702634,7.63475326004","{""type"": ""LineString"", ""coordinates"": [[7.634738999205369, 47.57243395286006], [7.634767520872438, 47.57250657386184]]}",2781,2781,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5724702634,7.63475326004
"47.5764107926,7.58782030991","{""type"": ""LineString"", ""coordinates"": [[7.587788280639606, 47.57637105908474], [7.587852339184084, 47.576450526136725]]}",2902,2902,Zone30,0.1,Begegnungszone,Nein,Nein,Nein,Begegnungszone,47.5764107926,7.58782030991
"47.5760876474,7.5911349378","{""type"": ""LineString"", ""coordinates"": [[7.591037671717833, 47.57610274904259], [7.591232203873955, 47.57607254566777]]}",2904,2904,Zone50,0.5,"Tram und Tempo 50, aber einziger möglicher Übergang",Ja,Nein,Nein,Fussgaengerstreifen,47.5760876474,7.5911349378
"47.5634034334,7.55724342619","{""type"": ""LineString"", ""coordinates"": [[7.557156434774321, 47.56344380907972], [7.557330417599299, 47.5633630577481]]}",3025,3025,Zone50,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5634034334,7.55724342619
"47.5324396026,7.59351238901","{""type"": ""LineString"", ""coordinates"": [[7.59351823077614, 47.53239788598902], [7.593506547239192, 47.5324813191346]]}",265,265,Zone50,0.3,Tram und Tempo 50,Ja,Nein,Nein,ohne,47.5324396026,7.59351238901
"47.5323691175,7.59363453943","{""type"": ""LineString"", ""coordinates"": [[7.5936283086641, 47.53240717407706], [7.593640770187108, 47.53233106084512]]}",267,267,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5323691175,7.59363453943
"47.5552492925,7.61352818551","{""type"": ""LineString"", ""coordinates"": [[7.61358569647676, 47.55526062364708], [7.613470674547793, 47.55523796127979]]}",280,280,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5552492925,7.61352818551
"47.5536679994,7.61591834567","{""type"": ""LineString"", ""coordinates"": [[7.615930848045035, 47.55362229206598], [7.615905843292868, 47.55371370663906]]}",285,285,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5536679994,7.61591834567
"47.5540646358,7.6142187165","{""type"": ""LineString"", ""coordinates"": [[7.614166979462777, 47.5540432996902], [7.614270453538911, 47.55408597189346]]}",287,287,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5540646358,7.6142187165
"47.5540002563,7.61450031371","{""type"": ""LineString"", ""coordinates"": [[7.614454321538132, 47.55404916180758], [7.614546305890023, 47.553951350770944]]}",290,290,Zone30,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5540002563,7.61450031371
"47.552708571,7.60546950137","{""type"": ""LineString"", ""coordinates"": [[7.605560969852838, 47.552612078544975], [7.605452144660924, 47.55270315228501], [7.605406120744194, 47.55282501156086]]}",307,307,Zone50,0.5,,Ja,Nein,Nein,Fussgaengerstreifen,47.552708571,7.60546950137
"47.5518384149,7.60900699048","{""type"": ""LineString"", ""coordinates"": [[7.609106526077865, 47.551800670922695], [7.608907454891023, 47.55187615893212]]}",315,315,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5518384149,7.60900699048
"47.5521440577,7.60767454792","{""type"": ""LineString"", ""coordinates"": [[7.607719290162669, 47.552137359817685], [7.607629805676727, 47.55215075548368]]}",317,317,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5521440577,7.60767454792
"47.5520308553,7.60760810385","{""type"": ""LineString"", ""coordinates"": [[7.607668684035832, 47.55201864378508], [7.607547523655212, 47.5520430667305]]}",318,318,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5520308553,7.60760810385
"47.5468680997,7.61400630133","{""type"": ""LineString"", ""coordinates"": [[7.614096956112432, 47.54686032293285], [7.613915646541859, 47.546875876449285]]}",333,333,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5468680997,7.61400630133
"47.5462470722,7.61124889402","{""type"": ""LineString"", ""coordinates"": [[7.6113105251557, 47.546243801493105], [7.611187262883091, 47.54625034282188]]}",340,340,Zone30,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5462470722,7.61124889402
"47.5516008041,7.61006440308","{""type"": ""LineString"", ""coordinates"": [[7.610021204734169, 47.55161229427234], [7.610107601427541, 47.55158931395721]]}",343,343,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5516008041,7.61006440308
"47.5505710423,7.60428087645","{""type"": ""LineString"", ""coordinates"": [[7.604345247546497, 47.550631321329874], [7.60421650534968, 47.55051076323187]]}",354,354,Zone50,0.5,Tram und Tempo 50,Ja,Nein,Nein,Fussgaengerstreifen,47.5505710423,7.60428087645
"47.5690588698,7.61783523479","{""type"": ""LineString"", ""coordinates"": [[7.617867063388855, 47.569021622908345], [7.61780340619782, 47.56909611674874]]}",361,361,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5690588698,7.61783523479
"47.5639233642,7.61492998567","{""type"": ""LineString"", ""coordinates"": [[7.614978101965057, 47.5638720352625], [7.614933405557038, 47.56392146044927], [7.614880238792522, 47.56397311988433]]}",366,366,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5639233642,7.61492998567
"47.5659566521,7.61890796111","{""type"": ""LineString"", ""coordinates"": [[7.618871721270001, 47.565985407120614], [7.618944200946903, 47.56592789705575]]}",377,377,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5659566521,7.61890796111
"47.5657468307,7.61903452081","{""type"": ""LineString"", ""coordinates"": [[7.619069090334734, 47.56576451272111], [7.618999951284251, 47.56572914862617]]}",382,382,Zone50,0.1,,Nein,Nein,Ja,Fussgaengerstreifen,47.5657468307,7.61903452081
"47.5666847354,7.62072750988","{""type"": ""LineString"", ""coordinates"": [[7.620676685906099, 47.566750338583866], [7.620778333856991, 47.56661913229813]]}",385,385,Zone50,0.1,,Nein,Nein,Ja,Fussgaengerstreifen,47.5666847354,7.62072750988
"47.5617073965,7.60604852554","{""type"": ""LineString"", ""coordinates"": [[7.606041371936769, 47.56173755820079], [7.606055679145546, 47.56167723473537]]}",390,390,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5617073965,7.60604852554
"47.5610857195,7.60392874877","{""type"": ""LineString"", ""coordinates"": [[7.603933922746162, 47.561229886043314], [7.603953423955093, 47.561121232186004], [7.603932346073515, 47.56103826801651], [7.603870604510212, 47.56095361674053]]}",392,392,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5610857195,7.60392874877
"47.5610161011,7.60407407683","{""type"": ""LineString"", ""coordinates"": [[7.603870604510212, 47.56095361674053], [7.603990111906107, 47.56101470342791], [7.604158996513395, 47.56102072322634], [7.604280388368014, 47.56107234553894]]}",393,393,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5610161011,7.60407407683
"47.5593395542,7.59809652536","{""type"": ""LineString"", ""coordinates"": [[7.598185357537446, 47.55930307995694], [7.598007693174567, 47.559376028389345]]}",401,401,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5593395542,7.59809652536
"47.5635231051,7.61795595531","{""type"": ""LineString"", ""coordinates"": [[7.617995622780007, 47.5635360174335], [7.617916287847129, 47.5635101927206]]}",417,417,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5635231051,7.61795595531
"47.5649770983,7.62113891414","{""type"": ""LineString"", ""coordinates"": [[7.621177937539658, 47.56498958339082], [7.621099890747148, 47.564964613249835]]}",427,427,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5649770983,7.62113891414
"47.5417059672,7.58830929323","{""type"": ""LineString"", ""coordinates"": [[7.588376688959241, 47.54167804033493], [7.588241897501924, 47.54173389397311]]}",482,482,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5417059672,7.58830929323
"47.5405359867,7.5915520729","{""type"": ""LineString"", ""coordinates"": [[7.591517145998827, 47.54048891407835], [7.591586999803384, 47.54058305928889]]}",492,492,Zone50,0.1,,Nein,Nein,Ja,Fussgaengerstreifen,47.5405359867,7.5915520729
"47.5301078636,7.6012887928","{""type"": ""LineString"", ""coordinates"": [[7.601299570358247, 47.53014537072525], [7.601278015236845, 47.53007035638737]]}",502,502,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5301078636,7.6012887928
"47.5366393722,7.60459009643","{""type"": ""LineString"", ""coordinates"": [[7.604575428754033, 47.53654507088573], [7.604605434609323, 47.53665321456364], [7.604573871288033, 47.53673196430562]]}",504,504,Zone50,0.1,,Nein,Nein,Ja,Fussgaengerstreifen,47.5366393722,7.60459009643
"47.5519977224,7.56150394686","{""type"": ""LineString"", ""coordinates"": [[7.561450377888254, 47.55200733918953], [7.561557515831958, 47.551988105702414]]}",516,516,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5519977224,7.56150394686
"47.5517863085,7.56138233718","{""type"": ""LineString"", ""coordinates"": [[7.561294377758454, 47.55178884733547], [7.561470296596092, 47.55178376972637]]}",518,518,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5517863085,7.56138233718
"47.5612820909,7.56433921971","{""type"": ""LineString"", ""coordinates"": [[7.564491024483542, 47.56129291319039], [7.564187414935403, 47.56127126854246]]}",522,522,Zone50,0.5,Konfliktgrün,Nein,Ja,Ja,Fussgaengerstreifen,47.5612820909,7.56433921971
"47.5479536921,7.56766056254","{""type"": ""LineString"", ""coordinates"": [[7.567752526024236, 47.54786561391476], [7.567683045384024, 47.54796759007112], [7.567541324592689, 47.54800250762643]]}",532,532,Zone50,0.1,,Ja,Nein,Ja,Fussgaengerstreifen,47.5479536921,7.56766056254
"47.5457844468,7.56256226937","{""type"": ""LineString"", ""coordinates"": [[7.56257068612077, 47.54575654821463], [7.562553852620736, 47.54581234541497]]}",540,540,Zone30,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5457844468,7.56256226937
"47.547057801,7.56490332035","{""type"": ""LineString"", ""coordinates"": [[7.564901500138317, 47.547009821308315], [7.564905140564276, 47.54710578078958]]}",542,542,Zone50,0.3,Keine Tram und schmale Strasse im Kreisel,Nein,Nein,Nein,Fussgaengerstreifen,47.547057801,7.56490332035
"47.5471159199,7.56490345817","{""type"": ""LineString"", ""coordinates"": [[7.565019356959457, 47.547135507416755], [7.564905140564276, 47.54710578078958], [7.564785892799786, 47.547116747259814]]}",549,549,Zone50,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5471159199,7.56490345817
"47.5524809866,7.56759374942","{""type"": ""LineString"", ""coordinates"": [[7.567685512605828, 47.552490877240736], [7.567501986224319, 47.552471095997326]]}",555,555,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5524809866,7.56759374942
"47.5524278206,7.5655550385","{""type"": ""LineString"", ""coordinates"": [[7.565442494002736, 47.55241899425391], [7.565667582998606, 47.552436646971096]]}",564,564,Zone50,0.5,Konfliktgrün,Nein,Ja,Ja,Fussgaengerstreifen,47.5524278206,7.5655550385
"47.5529891869,7.5711729166","{""type"": ""LineString"", ""coordinates"": [[7.571121981359517, 47.553050734980346], [7.571223851847816, 47.55292763880197]]}",567,567,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5529891869,7.5711729166
"47.5678071593,7.61525545728","{""type"": ""LineString"", ""coordinates"": [[7.615306700317065, 47.567841684864035], [7.61520421424241, 47.56777263372387]]}",621,621,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5678071593,7.61525545728
"47.568718428,7.61715216362","{""type"": ""LineString"", ""coordinates"": [[7.617116947547426, 47.56870053055224], [7.617187379691318, 47.568736325452214]]}",625,625,Zone30,0.1,,Nein,Nein,Nein,ohne,47.568718428,7.61715216362
"47.5619655916,7.60749799585","{""type"": ""LineString"", ""coordinates"": [[7.607564366578035, 47.56197831594631], [7.607431625113751, 47.561952867273256]]}",638,638,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5619655916,7.60749799585
"47.5652947193,7.57354081479","{""type"": ""LineString"", ""coordinates"": [[7.573460407541076, 47.56535769175679], [7.573621222035939, 47.56523174684487]]}",641,641,Zone50,0.5,,Nein,Nein,Nein,Fussgaengerstreifen,47.5652947193,7.57354081479
"47.5654227047,7.57388607992","{""type"": ""LineString"", ""coordinates"": [[7.573893654846822, 47.565346829502154], [7.573878504995458, 47.5654985798233]]}",644,644,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5654227047,7.57388607992
"47.5655360666,7.57291598011","{""type"": ""LineString"", ""coordinates"": [[7.572804121994361, 47.56550787872398], [7.573027838229019, 47.56556425457207]]}",648,648,Zone50,0.5,,Nein,Nein,Nein,Fussgaengerstreifen,47.5655360666,7.57291598011
"47.565076744,7.58065043001","{""type"": ""LineString"", ""coordinates"": [[7.580708965364404, 47.56511080867657], [7.580653389138795, 47.56507884079277], [7.580592206130552, 47.565042149018126]]}",670,670,Zone30,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.565076744,7.58065043001
"47.557914971,7.5995186385","{""type"": ""LineString"", ""coordinates"": [[7.599583682782837, 47.55790428658443], [7.599453594222577, 47.55792565545051]]}",685,685,Zone30,0.1,,Nein,Nein,Nein,ohne,47.557914971,7.5995186385
"47.5570684476,7.5990143171","{""type"": ""LineString"", ""coordinates"": [[7.598889616393457, 47.55706718920214], [7.599139017801766, 47.557069705905086]]}",692,692,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5570684476,7.5990143171
"47.5570428,7.60096070293","{""type"": ""LineString"", ""coordinates"": [[7.60097996305982, 47.557006285599776], [7.600941442792385, 47.55707931444153]]}",694,694,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5570428,7.60096070293
"47.5570867648,7.60242652929","{""type"": ""LineString"", ""coordinates"": [[7.602435979978901, 47.5570470127183], [7.602417078605992, 47.55712651693653]]}",700,700,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5570867648,7.60242652929
"47.5576896808,7.60233484381","{""type"": ""LineString"", ""coordinates"": [[7.602265787381928, 47.55768935959438], [7.602403900247457, 47.55769000193969]]}",704,704,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5576896808,7.60233484381
"47.5580176739,7.60458141787","{""type"": ""LineString"", ""coordinates"": [[7.604586749266015, 47.557973947812904], [7.604576086472043, 47.55806140007798]]}",707,707,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5580176739,7.60458141787
"47.549906701,7.5605498067","{""type"": ""LineString"", ""coordinates"": [[7.560528851506036, 47.54986916949426], [7.560570761900613, 47.54994423252557]]}",731,731,Zone30,0.1,,Nein,Nein,Nein,ohne,47.549906701,7.5605498067
"47.5501642446,7.55885164628","{""type"": ""LineString"", ""coordinates"": [[7.558835840835933, 47.55012713916847], [7.558867451718166, 47.550201350012415]]}",738,738,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5501642446,7.55885164628
"47.5490653595,7.55852531728","{""type"": ""LineString"", ""coordinates"": [[7.558482171963235, 47.5490719422483], [7.5585684626059, 47.54905877670528]]}",741,741,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5490653595,7.55852531728
"47.5485498504,7.55922875779","{""type"": ""LineString"", ""coordinates"": [[7.559192601620068, 47.548580574437594], [7.55926491395008, 47.5485191263478]]}",747,747,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5485498504,7.55922875779
"47.5486265403,7.56016072356","{""type"": ""LineString"", ""coordinates"": [[7.560084970193636, 47.548617171264176], [7.560236476924881, 47.548635909392466]]}",749,749,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5486265403,7.56016072356
"47.5485737543,7.56022283249","{""type"": ""LineString"", ""coordinates"": [[7.560236476924881, 47.548635909392466], [7.560209188064649, 47.54851159916492]]}",750,750,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5485737543,7.56022283249
"47.5493516434,7.56421324243","{""type"": ""LineString"", ""coordinates"": [[7.564199192572097, 47.54941309931772], [7.564227292288286, 47.549290187434295]]}",763,763,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5493516434,7.56421324243
"47.5484670756,7.56445168502","{""type"": ""LineString"", ""coordinates"": [[7.564437004968998, 47.54850324187523], [7.564466365065059, 47.54843090941636]]}",769,769,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5484670756,7.56445168502
"47.5482221049,7.56315516471","{""type"": ""LineString"", ""coordinates"": [[7.563117123796306, 47.54825813852371], [7.563193205615082, 47.548186071314944]]}",776,776,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5482221049,7.56315516471
"47.5511376052,7.56359651224","{""type"": ""LineString"", ""coordinates"": [[7.563544081941975, 47.55112516006405], [7.56364894253512, 47.55115005039304]]}",842,842,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5511376052,7.56359651224
"47.5506364837,7.5656612479","{""type"": ""LineString"", ""coordinates"": [[7.565666756026855, 47.55059525032718], [7.565655739781209, 47.55067771700941]]}",848,848,Zone50,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5506364837,7.5656612479
"47.5518631542,7.56045221146","{""type"": ""LineString"", ""coordinates"": [[7.560402823942311, 47.55187136311704], [7.560501598974729, 47.551854945378295]]}",850,850,Zone50,0.1,Übergang zwischen Tempo 30 und Tempo 50,Nein,Nein,Nein,ohne,47.5518631542,7.56045221146
"47.5540857974,7.56441416006","{""type"": ""LineString"", ""coordinates"": [[7.564411137300517, 47.55412802172479], [7.564417182810369, 47.55404357300734]]}",854,854,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5540857974,7.56441416006
"47.5484125204,7.56689584958","{""type"": ""LineString"", ""coordinates"": [[7.566868748640481, 47.548450589307755], [7.566922950517641, 47.54837445153614]]}",858,858,Zone50,0.1,Übergang zwischen Begegnungszone und Tempo 50,Nein,Nein,Nein,Begegnungszone,47.5484125204,7.56689584958
"47.5523299685,7.56459241284","{""type"": ""LineString"", ""coordinates"": [[7.564632491045516, 47.552331759981314], [7.564552334636148, 47.552328177054875]]}",859,859,Zone50,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5523299685,7.56459241284
"47.555496321,7.56443484195","{""type"": ""LineString"", ""coordinates"": [[7.564422849888986, 47.55552101276016], [7.564446834020043, 47.555471629299355]]}",867,867,Zone30,0.1,,Nein,Nein,Nein,ohne,47.555496321,7.56443484195
"47.5541106515,7.56367771061","{""type"": ""LineString"", ""coordinates"": [[7.563633435846644, 47.55411579841106], [7.563721985365235, 47.55410550463536]]}",873,873,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5541106515,7.56367771061
"47.5473910043,7.566658989","{""type"": ""LineString"", ""coordinates"": [[7.566694668009094, 47.54740446473172], [7.566623309986341, 47.54737754377056]]}",876,876,Zone50,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5473910043,7.566658989
"47.5462522372,7.56629741837","{""type"": ""LineString"", ""coordinates"": [[7.566335440081597, 47.546237468282115], [7.566259396663762, 47.54626700606641]]}",877,877,Zone50,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5462522372,7.56629741837
"47.5539551993,7.58568252972","{""type"": ""LineString"", ""coordinates"": [[7.585545486273697, 47.55392195594212], [7.585819573161685, 47.553988442685416]]}",2562,2562,Zone50,0.3,,Nein,Ja,Ja,Fussgaengerstreifen,47.5539551993,7.58568252972
"47.5533128231,7.58610101169","{""type"": ""LineString"", ""coordinates"": [[7.585941175741067, 47.55326639728381], [7.586260847645904, 47.55335924899926]]}",2563,2563,Zone50,0.3,,Nein,Ja,Ja,Fussgaengerstreifen,47.5533128231,7.58610101169
"47.5534081303,7.58980746152","{""type"": ""LineString"", ""coordinates"": [[7.589740426718851, 47.553406611844885], [7.589874496321896, 47.55340964870875]]}",2569,2569,Zone30,0.3,,Ja,Nein,Nein,ohne,47.5534081303,7.58980746152
"47.5647394916,7.60546969543","{""type"": ""LineString"", ""coordinates"": [[7.605569929195787, 47.56465299941346], [7.605369461660859, 47.56482598374482]]}",2576,2576,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5647394916,7.60546969543
"47.5637472745,7.60359329986","{""type"": ""LineString"", ""coordinates"": [[7.603651969628726, 47.56368412298015], [7.603534630092814, 47.56381042596402]]}",2580,2580,Zone50,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5637472745,7.60359329986
"47.5621196242,7.60048230892","{""type"": ""LineString"", ""coordinates"": [[7.600388912478455, 47.562060665160864], [7.600575705367307, 47.56217858316356]]}",2584,2584,Zone50,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5621196242,7.60048230892
"47.5589667408,7.60451909148","{""type"": ""LineString"", ""coordinates"": [[7.604391661675159, 47.55895241981993], [7.604646521281429, 47.55898106168136]]}",2626,2626,Zone50,0.5,,Nein,Nein,Nein,Fussgaengerstreifen,47.5589667408,7.60451909148
"47.5683872699,7.60537009027","{""type"": ""LineString"", ""coordinates"": [[7.60534377981927, 47.56845586206474], [7.605396400730499, 47.568318677805436]]}",2640,2640,Zone50,0.1,,Nein,Nein,Ja,Fussgaengerstreifen,47.5683872699,7.60537009027
"47.5513955597,7.56137149034","{""type"": ""LineString"", ""coordinates"": [[7.561436282017954, 47.55141100579696], [7.561306698662929, 47.55138011364503]]}",1794,1794,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5513955597,7.56137149034
"47.548581062,7.56707694929","{""type"": ""LineString"", ""coordinates"": [[7.567100664842338, 47.54855215247877], [7.567053233742113, 47.54860997158998]]}",1797,1797,Zone50,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.548581062,7.56707694929
"47.5846962198,7.59260551006","{""type"": ""LineString"", ""coordinates"": [[7.592547924979397, 47.58468943819808], [7.592663095150476, 47.5847030014243]]}",1802,1802,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5846962198,7.59260551006
"47.5783571287,7.64783931215","{""type"": ""LineString"", ""coordinates"": [[7.647771237591901, 47.57837348013849], [7.647907386715212, 47.57834077724256]]}",1808,1808,Zone40,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5783571287,7.64783931215
"47.5840644182,7.59388592579","{""type"": ""LineString"", ""coordinates"": [[7.594009554623598, 47.58406156895742], [7.593762296953287, 47.58406726739908]]}",1815,1815,Zone50,0.1,Hier gibt es eine Lichtsignalanlage,Ja,Nein,Nein,Fussgaengerstreifen,47.5840644182,7.59388592579
"47.566626412,7.57766562816","{""type"": ""LineString"", ""coordinates"": [[7.577691199966208, 47.56660524185917], [7.577640056355982, 47.56664758220164]]}",1822,1822,Zone30,0.1,,Nein,Nein,Nein,ohne,47.566626412,7.57766562816
"47.5392763168,7.60583574096","{""type"": ""LineString"", ""coordinates"": [[7.605793372900568, 47.53933584908758], [7.605878109026098, 47.53921678449332]]}",1826,1826,Zone50,0.5,,Nein,Nein,Nein,ohne,47.5392763168,7.60583574096
"47.5375509142,7.6020703986","{""type"": ""LineString"", ""coordinates"": [[7.602008904969404, 47.53757429893303], [7.602131892224747, 47.53752752946074]]}",1827,1827,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5375509142,7.6020703986
"47.538678597,7.60104171615","{""type"": ""LineString"", ""coordinates"": [[7.601021701766459, 47.53864613028723], [7.601061730523723, 47.53871106362527]]}",1831,1831,Zone30,0.1,Übergang zwischen Tempo 30 und Begegnungszone,Nein,Nein,Nein,ohne,47.538678597,7.60104171615
"47.537622236,7.59882016161","{""type"": ""LineString"", ""coordinates"": [[7.59874607867725, 47.537642137694164], [7.598894244546063, 47.537602334224886]]}",1835,1835,Zone30,0.1,,Nein,Nein,Nein,ohne,47.537622236,7.59882016161
"47.5382313498,7.59917619044","{""type"": ""LineString"", ""coordinates"": [[7.599113776712235, 47.53824535819777], [7.599238604162511, 47.53821734134383]]}",1838,1838,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5382313498,7.59917619044
"47.5393970996,7.59525123299","{""type"": ""LineString"", ""coordinates"": [[7.595216859235183, 47.539408181153206], [7.595285606743765, 47.5393860179611]]}",1842,1842,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5393970996,7.59525123299
"47.542901631,7.5891825786","{""type"": ""LineString"", ""coordinates"": [[7.589151679184056, 47.54285066722176], [7.589213478019796, 47.54295259481285]]}",1848,1848,Zone30,0.1,,Nein,Nein,Nein,ohne,47.542901631,7.5891825786
"47.5416658891,7.59110616071","{""type"": ""LineString"", ""coordinates"": [[7.591065082889345, 47.54168598551837], [7.591147238537471, 47.54164579271866]]}",1857,1857,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5416658891,7.59110616071
"47.5439457144,7.5913558833","{""type"": ""LineString"", ""coordinates"": [[7.591298665501453, 47.5439543154861], [7.591413101099883, 47.543937113295065]]}",1865,1865,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5439457144,7.5913558833
"47.5440597171,7.59145371208","{""type"": ""LineString"", ""coordinates"": [[7.591392363270674, 47.54408923421803], [7.59151506089912, 47.544030200040936]]}",1867,1867,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5440597171,7.59145371208
"47.5393362403,7.60633755157","{""type"": ""LineString"", ""coordinates"": [[7.606260417065792, 47.53929572191453], [7.606414686066648, 47.53937675865616]]}",1871,1871,Zone50,0.5,,Nein,Nein,Nein,ohne,47.5393362403,7.60633755157
"47.5405265657,7.6191459652","{""type"": ""LineString"", ""coordinates"": [[7.619176057632907, 47.540580194012605], [7.6191158727722, 47.54047293743524]]}",1877,1877,Zone50,0.5,,Ja,Nein,Nein,ohne,47.5405265657,7.6191459652
"47.5400096578,7.62145000149","{""type"": ""LineString"", ""coordinates"": [[7.621430600204953, 47.53997579066368], [7.621469402768591, 47.54004352494368]]}",1890,1890,Zone50,0.5,,Ja,Nein,Nein,ohne,47.5400096578,7.62145000149
"47.5410354493,7.61787634843","{""type"": ""LineString"", ""coordinates"": [[7.617936696963101, 47.54099824349546], [7.617815999888641, 47.54107265510879]]}",1894,1894,Zone50,0.1,,Nein,Nein,Ja,Fussgaengerstreifen,47.5410354493,7.61787634843
"47.5375814099,7.60977802657","{""type"": ""LineString"", ""coordinates"": [[7.60980674115929, 47.537554642607965], [7.609749311980475, 47.53760817718246]]}",1905,1905,Zone50,0.5,,Nein,Nein,Nein,ohne,47.5375814099,7.60977802657
"47.5371555722,7.60857712843","{""type"": ""LineString"", ""coordinates"": [[7.608512864360948, 47.53715246423385], [7.608641392503825, 47.537158680215384]]}",1912,1912,Zone50,0.5,,Ja,Nein,Nein,ohne,47.5371555722,7.60857712843
"47.550646719,7.58134789304","{""type"": ""LineString"", ""coordinates"": [[7.581413177217951, 47.5506109428589], [7.581282608869646, 47.55068249509322]]}",1929,1929,Zone30,0.3,,Nein,Ja,Ja,Fussgaengerstreifen,47.550646719,7.58134789304
