Geo Point,Geo Shape,OBJID,ID,Strassenkategorie,Bewertung,Bemerkung,Tram,Konfliktgrün,Lichtsignalanlage,Vortritt-Typ,lat,long
"47.5602641917,7.57982948811","{""type"": ""LineString"", ""coordinates"": [[7.579771806437454, 47.5601864498447], [7.579830640559225, 47.56023159905093], [7.579860328699107, 47.560359228962476]]}",3605,3605,Zone50,0.3,,Nein,Ja,Ja,Fussgaengerstreifen,47.5602641917,7.57982948811
"47.5597618876,7.61240655955","{""type"": ""LineString"", ""coordinates"": [[7.612443101535516, 47.55954785041265], [7.612448388149328, 47.559694233467106], [7.612391144817795, 47.559827704888626], [7.612322555484035, 47.5599656450922]]}",3608,3608,Zone50,0.5,Konfliktgrün,Nein,Ja,Ja,Fussgaengerstreifen,47.5597618876,7.61240655955
"47.5453091652,7.59866514671","{""type"": ""LineString"", ""coordinates"": [[7.59872686993067, 47.54519983064053], [7.598638502141776, 47.54535224361029], [7.598609499924511, 47.54542151750405]]}",3609,3609,Zone50,0.1,,Nein,Nein,Ja,Fussgaengerstreifen,47.5453091652,7.59866514671
"47.541014091,7.61836714185","{""type"": ""LineString"", ""coordinates"": [[7.61829733128807, 47.54089915144311], [7.618362003394473, 47.541021906795756], [7.618451161374265, 47.541119018961076]]}",3610,3610,Zone60,0.1,,Nein,Nein,Ja,Fussgaengerstreifen,47.541014091,7.61836714185
"47.5688569712,7.60176695515","{""type"": ""LineString"", ""coordinates"": [[7.601733427165225, 47.568907086097575], [7.601800483143161, 47.56880685639381]]}",2915,2915,Zone50,0.5,,Nein,Nein,Nein,Fussgaengerstreifen,47.5688569712,7.60176695515
"47.5684220193,7.60038538029","{""type"": ""LineString"", ""coordinates"": [[7.600421984513206, 47.56836931937878], [7.600348776064226, 47.56847471921862]]}",2917,2917,Zone50,0.5,,Nein,Nein,Nein,Fussgaengerstreifen,47.5684220193,7.60038538029
"47.5684050629,7.60008616782","{""type"": ""LineString"", ""coordinates"": [[7.599980158033283, 47.568384061055156], [7.600192177616634, 47.5684260646727]]}",2919,2919,Zone50,0.1,Trottoirüberfahrt,Nein,Nein,Nein,Trottoirueberfahrt,47.5684050629,7.60008616782
"47.5587620607,7.57627597532","{""type"": ""LineString"", ""coordinates"": [[7.576305817353484, 47.558780296243704], [7.576246133279537, 47.558743825176066]]}",2925,2925,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5587620607,7.57627597532
"47.5586848937,7.57613185031","{""type"": ""LineString"", ""coordinates"": [[7.576100924642038, 47.558666317613394], [7.576162775985313, 47.55870346972414]]}",2926,2926,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5586848937,7.57613185031
"47.5541180255,7.58901760877","{""type"": ""LineString"", ""coordinates"": [[7.58903475442667, 47.554056989825376], [7.589000463119819, 47.55417906116633]]}",2931,2931,Zone30,0.3,,Ja,Nein,Nein,Fussgaengerstreifen,47.5541180255,7.58901760877
"47.5542557144,7.58886827644","{""type"": ""LineString"", ""coordinates"": [[7.588799913709344, 47.55425242086066], [7.588936639180186, 47.55425900791822]]}",2934,2934,Fussgaengerzone,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5542557144,7.58886827644
"47.5676374919,7.59058325918","{""type"": ""LineString"", ""coordinates"": [[7.590499723914196, 47.5676274244349], [7.590666794454135, 47.56764755940669]]}",2938,2938,Zone50,0.5,,Ja,Nein,Nein,Fussgaengerstreifen,47.5676374919,7.59058325918
"47.5678183797,7.59490479805","{""type"": ""LineString"", ""coordinates"": [[7.594917102154748, 47.56777933503491], [7.594892493938576, 47.56785742434442]]}",2942,2942,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5678183797,7.59490479805
"47.5678242348,7.59508229399","{""type"": ""LineString"", ""coordinates"": [[7.595082637395008, 47.56785979543291], [7.595081950576837, 47.567788674180896]]}",2944,2944,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5678242348,7.59508229399
"47.5685532836,7.59490338117","{""type"": ""LineString"", ""coordinates"": [[7.594840205577553, 47.56855339080859], [7.59496655675486, 47.56855317643794]]}",2945,2945,Zone30,0.1,Übergang zwischen Tempo 30 und Begegnungszone,Nein,Nein,Nein,ohne,47.5685532836,7.59490338117
"47.5694822394,7.59750340115","{""type"": ""LineString"", ""coordinates"": [[7.597504770947244, 47.56951383242467], [7.597502031358912, 47.56945064646202]]}",2950,2950,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5694822394,7.59750340115
"47.569353222,7.59226581006","{""type"": ""LineString"", ""coordinates"": [[7.592199875708038, 47.56935091658768], [7.592331744405517, 47.56935552743821]]}",2957,2957,Zone30,0.1,,Nein,Nein,Nein,ohne,47.569353222,7.59226581006
"47.5701046313,7.59227282954","{""type"": ""LineString"", ""coordinates"": [[7.59221598498241, 47.57010490855132], [7.592329674091795, 47.57010435399554]]}",2960,2960,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5701046313,7.59227282954
"47.5700479927,7.59218133534","{""type"": ""LineString"", ""coordinates"": [[7.592182432504057, 47.57001361282209], [7.592180238166204, 47.57008237248308]]}",2961,2961,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5700479927,7.59218133534
"47.5700470334,7.59622889025","{""type"": ""LineString"", ""coordinates"": [[7.596228279744631, 47.57007431662176], [7.596229500746689, 47.57001975023965]]}",2962,2962,Zone30,0.1,Tempo 30,Nein,Nein,Nein,ohne,47.5700470334,7.59622889025
"47.5703397374,7.59633544533","{""type"": ""LineString"", ""coordinates"": [[7.596277094137359, 47.5703586671166], [7.596393796531312, 47.5703208076592]]}",2964,2964,Fussgaengerzone,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5703397374,7.59633544533
"47.5700605066,7.59517062384","{""type"": ""LineString"", ""coordinates"": [[7.595170612404957, 47.57002714897158], [7.595170635271341, 47.570093864148284]]}",2967,2967,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5700605066,7.59517062384
"47.5701140716,7.59508117719","{""type"": ""LineString"", ""coordinates"": [[7.595015037672789, 47.57011467755818], [7.595147316711757, 47.57011346573606]]}",2969,2969,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5701140716,7.59508117719
"47.5588672064,7.570248237","{""type"": ""LineString"", ""coordinates"": [[7.57028839856168, 47.55890616689566], [7.570208075437835, 47.558828245953144]]}",3074,3074,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5588672064,7.570248237
"47.5589617094,7.57019907671","{""type"": ""LineString"", ""coordinates"": [[7.570118453097487, 47.558983066007364], [7.570279700322133, 47.55894035285818]]}",3075,3075,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5589617094,7.57019907671
"47.558185393,7.57011591987","{""type"": ""LineString"", ""coordinates"": [[7.570201012755555, 47.55818816156406], [7.570030826984627, 47.558182624355176]]}",3078,3078,Zone30,0.1,,Nein,Nein,Nein,ohne,47.558185393,7.57011591987
"47.5582288388,7.570202209","{""type"": ""LineString"", ""coordinates"": [[7.570201012755555, 47.55818816156406], [7.5702034052367, 47.55826951610444]]}",3079,3079,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5582288388,7.570202209
"47.5581595363,7.57206821807","{""type"": ""LineString"", ""coordinates"": [[7.572015068863054, 47.55818202748085], [7.572121367267521, 47.558137045189596]]}",3081,3081,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5581595363,7.57206821807
"47.557939221,7.57426771904","{""type"": ""LineString"", ""coordinates"": [[7.574305773045643, 47.557919044307276], [7.574229665034242, 47.55795939772291]]}",3082,3082,Zone50,0.5,,Nein,Nein,Nein,ohne,47.557939221,7.57426771904
"47.5581089066,7.57440602909","{""type"": ""LineString"", ""coordinates"": [[7.574335768402336, 47.55808445801171], [7.574476289768491, 47.55813335522062]]}",3083,3083,Zone50,0.5,,Nein,Nein,Nein,ohne,47.5581089066,7.57440602909
"47.5596422777,7.57280129626","{""type"": ""LineString"", ""coordinates"": [[7.572759990367654, 47.55966715233309], [7.572842602148301, 47.559617402984834]]}",3088,3088,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5596422777,7.57280129626
"47.5939597042,7.65474013967","{""type"": ""LineString"", ""coordinates"": [[7.654829810475906, 47.59392694486983], [7.654650468863944, 47.59399246361926]]}",3090,3090,Zone50,0.1,,Ja,Nein,Ja,Fussgaengerstreifen,47.5939597042,7.65474013967
"47.5937148088,7.65575697672","{""type"": ""LineString"", ""coordinates"": [[7.655765608098189, 47.59374809162468], [7.655748345341849, 47.59368152598892]]}",3095,3095,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5937148088,7.65575697672
"47.5896502989,7.65379641052","{""type"": ""LineString"", ""coordinates"": [[7.653789527312608, 47.58962806133071], [7.6538032937216, 47.589672536432424]]}",3097,3097,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5896502989,7.65379641052
"47.5894018826,7.65474708915","{""type"": ""LineString"", ""coordinates"": [[7.654700731656798, 47.5894148790181], [7.654793446643525, 47.58938888613114]]}",3098,3098,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5894018826,7.65474708915
"47.5894898503,7.65479260664","{""type"": ""LineString"", ""coordinates"": [[7.654741995256534, 47.58950293113785], [7.654843218022401, 47.58947676952484]]}",3099,3099,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5894898503,7.65479260664
"47.5905238862,7.65423932297","{""type"": ""LineString"", ""coordinates"": [[7.65421670899635, 47.590484472993225], [7.65426193693851, 47.59056329942585]]}",3102,3102,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5905238862,7.65423932297
"47.5905616918,7.65426798606","{""type"": ""LineString"", ""coordinates"": [[7.654354739340834, 47.59053864679545], [7.6541812327706, 47.59058473683795]]}",3103,3103,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5905616918,7.65426798606
"47.5926658118,7.65359929934","{""type"": ""LineString"", ""coordinates"": [[7.65362649202476, 47.59269652426429], [7.653572106653127, 47.592635099245555]]}",3106,3106,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5926658118,7.65359929934
